order_id,user_id,product_id,quantity,price,order_date
52,26,4,3,415.56,2025-08-06
53,16,19,1,118.38,2024-03-24
54,27,19,1,118.38,2024-11-19
55,17,7,1,387.67,2024-11-17
56,16,9,1,193.16,2024-11-03
57,30,11,3,85.51,2024-03-15
58,1,15,1,269.4,2025-07-30
59,7,3,1,44.01,2025-06-02
60,17,5,3,290.79,2024-03-11
61,16,12,1,108.71,2025-03-24
62,35,10,1,319.66,2025-06-25
63,1,18,1,343.88,2024-04-16
64,9,9,1,193.16,2024-04-19
65,48,18,1,343.88,2024-10-15
66,39,7,2,387.67,2024-07-27
67,44,9,1,193.16,2024-09-14
68,4,3,1,44.01,2024-10-10
69,3,1,1,404.53,2024-05-13
70,41,9,1,193.16,2025-03-28
71,36,14,1,306.52,2024-04-24
72,5,5,1,290.79,2025-01-13
73,38,18,1,343.88,2024-05-10
74,3,10,1,319.66,2024-02-10
75,23,7,1,387.67,2024-04-15
76,23,18,2,343.88,2025-02-20
77,40,5,3,290.79,2024-08-30
78,11,6,2,27.68,2024-01-26
79,12,11,2,85.51,2025-02-25
80,43,8,1,428.38,2024-04-20
81,25,2,2,270.43,2024-08-15
82,13,15,1,269.4,2024-08-21
83,15,1,1,404.53,2025-02-12
84,22,9,2,193.16,2024-10-12
85,23,17,1,138.62,2025-07-03
86,22,1,1,404.53,2024-09-24
87,12,19,3,118.38,2024-09-28
88,3,4,1,415.56,2024-12-19
89,47,11,1,85.51,2025-06-07
90,8,13,2,352.4,2024-07-13
91,17,2,2,270.43,2024-01-02
92,34,18,1,343.88,2024-07-20
93,24,14,1,306.52,2024-12-04
94,40,11,1,85.51,2024-05-07
95,47,10,1,319.66,2025-02-22
96,21,13,1,352.4,2025-07-21
97,9,7,1,387.67,2025-01-23
98,44,6,1,27.68,2024-11-04
99,26,18,2,343.88,2024-11-07
100,19,7,1,387.67,2025-08-16
101,39,11,1,85.51,2025-03-28
102,44,7,1,387.67,2024-06-22
103,43,3,1,44.01,2024-12-09
104,6,8,1,428.38,2024-08-18
105,13,5,1,290.79,2024-09-07
106,31,20,2,403.5,2024-03-15
107,30,14,2,306.52,2025-08-12
108,13,13,1,352.4,2024-09-06
109,10,1,2,404.53,2024-04-19
110,50,14,1,306.52,2025-06-14
111,30,2,1,270.43,2024-05-04
112,30,5,2,290.79,2025-06-27
113,36,20,1,403.5,2025-03-29
114,40,17,1,138.62,2025-07-15
115,29,6,2,27.68,2025-05-01
116,29,9,2,193.16,2024-10-10
117,50,17,1,138.62,2024-09-01
118,18,15,1,269.4,2024-10-19
119,16,9,1,193.16,2025-07-07
120,6,5,1,290.79,2025-01-27
121,45,5,2,290.79,2024-03-06
122,27,14,1,306.52,2025-04-22
123,27,2,1,270.43,2025-03-06
124,25,19,3,118.38,2024-01-21
125,49,19,1,118.38,2024-01-07
126,23,10,2,319.66,2025-03-05
127,35,18,2,343.88,2024-08-13
128,32,8,1,428.38,2025-05-12
129,2,13,1,352.4,2025-02-18
130,47,6,2,27.68,2024-05-10
131,40,18,1,343.88,2025-02-07
132,38,19,1,118.38,2024-03-26
133,42,14,1,306.52,2025-04-17
134,12,2,1,270.43,2024-12-01
135,14,15,1,269.4,2025-01-23
136,18,14,1,306.52,2024-03-24
137,31,1,2,404.53,2024-02-23
138,23,8,1,428.38,2024-02-11
139,49,1,3,404.53,2024-07-23
140,2,20,1,403.5,2024-05-09
141,31,4,1,415.56,2024-08-11
142,30,9,2,193.16,2024-06-20
143,39,20,3,403.5,2024-04-27
144,50,6,3,27.68,2024-04-20
145,38,1,3,404.53,2025-08-12
146,44,13,1,352.4,2024-07-22
147,5,19,1,118.38,2024-09-05
148,7,10,2,319.66,2024-05-03
149,37,2,1,270.43,2025-03-14
150,43,12,1,108.71,2024-12-15
151,1,14,2,306.52,2024-04-18
152,28,12,1,108.71,2025-04-15
153,46,5,1,290.79,2025-06-18
154,42,9,1,193.16,2025-07-05
155,50,16,1,85.88,2024-10-01
156,21,8,2,428.38,2024-03-29
157,18,15,1,269.4,2025-04-20
158,37,20,1,403.5,2024-12-10
159,2,16,2,85.88,2024-07-05
160,32,7,1,387.67,2024-09-21
161,22,9,2,193.16,2024-10-09
162,36,1,1,404.53,2024-07-14
163,6,8,2,428.38,2025-05-15
164,36,8,1,428.38,2025-05-17
165,29,1,1,404.53,2024-08-14
166,26,8,1,428.38,2025-08-18
167,24,16,1,85.88,2024-12-18
168,28,18,1,343.88,2025-04-09
169,18,10,1,319.66,2024-05-03
170,47,7,1,387.67,2025-07-02
171,49,6,1,27.68,2025-05-10
172,18,19,4,118.38,2025-06-21
173,39,10,4,319.66,2024-07-17
174,19,8,1,428.38,2024-11-05
175,1,18,1,343.88,2024-02-16
176,4,18,1,343.88,2024-05-09
177,41,16,1,85.88,2024-01-13
178,37,10,1,319.66,2025-03-27
179,22,6,3,27.68,2024-09-15
180,31,4,2,415.56,2025-02-14
181,32,3,1,44.01,2024-02-24
182,10,5,2,290.79,2024-11-07
183,6,8,1,428.38,2025-03-02
184,39,20,2,403.5,2024-08-19
185,50,17,1,138.62,2025-03-29
186,20,19,4,118.38,2024-11-08
187,37,20,1,403.5,2024-04-11
188,49,7,1,387.67,2024-09-27
189,43,3,1,44.01,2024-06-26
190,36,3,1,44.01,2025-02-22
191,29,20,1,403.5,2024-02-03
192,15,10,2,319.66,2025-04-09
193,5,8,3,428.38,2024-07-21
194,28,4,1,415.56,2024-06-01
195,18,5,1,290.79,2024-06-18
196,20,20,2,403.5,2025-08-05
197,19,15,1,269.4,2024-11-07
198,45,13,3,352.4,2025-05-27
199,35,16,1,85.88,2024-02-10
200,28,11,1,85.51,2024-01-27
201,6,8,3,428.38,2025-08-12
202,38,1,4,404.53,2024-10-02
203,37,2,2,270.43,2024-06-28
204,31,17,1,138.62,2024-10-11
205,12,19,1,118.38,2025-05-18
206,6,16,1,85.88,2024-12-07
207,21,4,2,415.56,2024-12-03
208,27,16,1,85.88,2025-02-14
209,49,18,1,343.88,2024-03-31
210,21,9,1,193.16,2025-02-17
211,33,1,1,404.53,2025-07-09
212,30,14,1,306.52,2025-06-14
213,24,20,2,403.5,2025-03-28
214,49,2,1,270.43,2025-07-16
215,9,10,1,319.66,2025-05-11
216,8,1,4,404.53,2024-09-02
217,46,6,1,27.68,2024-01-15
218,36,14,1,306.52,2024-04-26
219,30,4,1,415.56,2024-06-06
220,32,10,1,319.66,2024-10-06
221,27,16,4,85.88,2024-09-06
222,30,18,1,343.88,2024-07-14
223,39,17,2,138.62,2024-05-19
224,5,9,2,193.16,2025-02-28
225,22,17,1,138.62,2024-01-03
226,19,10,2,319.66,2025-08-16
227,43,16,2,85.88,2025-04-02
228,35,16,1,85.88,2025-07-19
229,49,18,1,343.88,2024-11-25
230,13,8,1,428.38,2024-08-27
231,50,14,1,306.52,2025-04-29
232,46,13,1,352.4,2024-06-04
233,32,2,1,270.43,2024-12-05
234,7,15,1,269.4,2025-04-12
235,1,5,1,290.79,2024-06-07
236,5,16,2,85.88,2024-09-28
237,22,20,1,403.5,2024-03-23
238,22,18,1,343.88,2024-11-20
239,41,16,2,85.88,2024-02-06
240,40,3,1,44.01,2024-10-21
241,15,3,1,44.01,2024-04-10
242,49,4,1,415.56,2024-11-02
243,2,2,1,270.43,2024-02-27
244,19,12,1,108.71,2024-05-29
245,16,17,1,138.62,2024-07-03
246,11,6,1,27.68,2025-01-26
247,40,8,1,428.38,2025-08-20
248,10,8,1,428.38,2024-09-17
249,30,9,1,193.16,2025-04-21
250,19,18,1,343.88,2025-03-28
251,23,19,1,118.38,2025-03-10
252,45,9,1,193.16,2024-11-05
253,13,13,2,352.4,2024-04-19
254,16,13,1,352.4,2025-08-11
255,19,10,1,319.66,2025-02-09
256,18,1,1,404.53,2024-02-20
257,39,16,2,85.88,2024-10-20
258,50,8,1,428.38,2024-12-26
259,15,7,1,387.67,2024-05-20
260,41,4,3,415.56,2024-02-10
261,20,15,1,269.4,2025-01-08
262,47,5,1,290.79,2024-10-29
263,21,14,1,306.52,2024-05-15
264,35,12,1,108.71,2024-10-06
265,11,9,3,193.16,2025-05-08
266,19,11,2,85.51,2025-04-24
267,5,5,2,290.79,2024-08-19
268,44,13,3,352.4,2025-07-24
269,24,3,2,44.01,2024-01-15
270,17,18,1,343.88,2025-01-12
271,44,9,1,193.16,2025-01-15
272,7,8,1,428.38,2025-07-28
273,21,20,1,403.5,2024-03-05
274,41,15,3,269.4,2024-11-05
275,42,14,1,306.52,2024-02-16
276,3,10,4,319.66,2024-04-28
277,7,8,2,428.38,2024-05-18
278,25,15,1,269.4,2025-07-07
279,27,19,2,118.38,2024-06-07
280,27,4,2,415.56,2025-02-21
281,18,2,1,270.43,2024-08-10
282,29,15,3,269.4,2025-01-06
283,7,12,1,108.71,2025-01-02
284,4,13,1,352.4,2024-05-05
285,30,3,1,44.01,2024-01-22
286,4,11,1,85.51,2024-05-08
287,37,7,1,387.67,2025-07-21
288,14,19,1,118.38,2024-08-26
289,22,5,2,290.79,2024-01-03
290,18,5,4,290.79,2025-07-07
291,17,6,1,27.68,2024-01-27
292,9,1,1,404.53,2024-08-31
293,38,11,1,85.51,2024-09-28
294,4,5,2,290.79,2025-06-22
295,8,3,1,44.01,2025-01-05
296,33,19,1,118.38,2025-05-30
297,15,20,1,403.5,2025-06-17
298,20,15,1,269.4,2024-02-01
299,4,16,2,85.88,2025-03-12
300,44,4,1,415.56,2025-03-30
301,5,3,1,44.01,2024-05-31
302,5,5,1,290.79,2025-08-22
303,36,11,1,85.51,2025-06-27
304,19,15,1,269.4,2025-03-16
305,7,4,2,415.56,2025-07-18
306,47,7,1,387.67,2024-08-21
307,27,11,2,85.51,2025-02-12
308,27,4,1,415.56,2024-11-16
309,43,9,1,193.16,2024-06-05
310,44,16,1,85.88,2024-03-28
311,6,14,1,306.52,2025-01-16
312,9,18,1,343.88,2025-07-29
313,36,11,1,85.51,2025-02-24
314,23,14,2,306.52,2024-02-22
315,19,20,1,403.5,2024-04-16
316,37,17,1,138.62,2025-05-08
317,15,4,1,415.56,2025-07-23
318,24,4,2,415.56,2025-08-10
319,15,14,2,306.52,2025-07-24
320,2,20,3,403.5,2024-09-30
321,2,6,1,27.68,2024-11-12
322,22,12,1,108.71,2024-05-26
323,37,13,1,352.4,2024-02-01
324,6,17,1,138.62,2025-03-05
325,30,11,1,85.51,2024-11-15
326,47,11,2,85.51,2025-08-04
327,39,3,2,44.01,2024-06-08
328,11,20,1,403.5,2024-03-24
329,18,15,1,269.4,2025-05-12
330,39,15,1,269.4,2024-08-08
331,49,17,1,138.62,2025-03-16
332,8,10,1,319.66,2025-05-13
333,34,10,1,319.66,2025-02-08
334,39,2,1,270.43,2024-11-04
335,14,5,2,290.79,2024-10-23
336,21,4,1,415.56,2025-03-16
337,12,5,1,290.79,2024-08-23
338,33,18,2,343.88,2024-12-28
339,5,13,2,352.4,2024-02-13
340,28,1,1,404.53,2024-03-20
341,21,19,1,118.38,2025-02-18
342,46,14,1,306.52,2025-02-18
343,2,11,1,85.51,2025-04-16
344,45,12,1,108.71,2024-04-18
345,16,14,1,306.52,2025-06-20
346,6,13,2,352.4,2024-12-13
347,15,11,2,85.51,2024-03-19
348,33,4,1,415.56,2024-07-17
349,50,12,1,108.71,2024-05-31
350,16,4,1,415.56,2024-07-21
351,12,20,1,403.5,2024-03-18
352,12,16,1,85.88,2025-07-31
353,49,19,1,118.38,2025-08-01
354,42,20,1,403.5,2024-11-19
355,10,15,1,269.4,2025-03-28
356,41,10,2,319.66,2024-02-27
357,23,17,1,138.62,2025-04-17
358,29,2,1,270.43,2024-10-20
359,5,3,1,44.01,2025-06-03
360,25,15,1,269.4,2024-02-12
361,29,19,1,118.38,2024-11-25
362,39,16,1,85.88,2024-03-04
363,29,4,2,415.56,2024-12-17
364,46,3,1,44.01,2024-06-25
365,3,8,2,428.38,2025-03-25
366,34,17,1,138.62,2025-01-07
367,24,10,1,319.66,2024-12-12
368,44,20,1,403.5,2024-12-08
369,5,11,1,85.51,2025-01-30
370,19,9,2,193.16,2024-06-02
371,22,3,1,44.01,2024-05-24
372,23,10,3,319.66,2025-02-05
373,9,20,2,403.5,2024-03-27
374,20,18,1,343.88,2024-12-02
375,9,17,1,138.62,2025-03-09
376,33,12,1,108.71,2024-11-12
377,12,7,1,387.67,2025-05-12
378,13,8,4,428.38,2024-06-07
379,5,10,2,319.66,2024-04-13
380,33,18,2,343.88,2025-06-23
381,3,11,2,85.51,2024-05-14
382,39,13,1,352.4,2024-07-04
383,45,20,2,403.5,2024-06-18
384,47,15,1,269.4,2025-01-08
385,44,8,3,428.38,2024-10-18
386,49,15,1,269.4,2024-09-01
387,20,16,3,85.88,2024-07-17
388,24,19,4,118.38,2025-04-17
389,50,10,2,319.66,2025-05-29
390,34,14,3,306.52,2024-07-23
391,39,5,2,290.79,2024-02-23
392,42,16,2,85.88,2025-07-21
393,7,17,2,138.62,2024-10-18
394,6,6,1,27.68,2025-06-09
395,10,14,1,306.52,2024-08-15
396,29,12,3,108.71,2025-02-28
397,4,13,1,352.4,2024-08-29
398,25,3,1,44.01,2024-01-29
399,21,4,2,415.56,2024-12-09
400,10,5,1,290.79,2025-04-28
